group,movie_imdb_link,Cast FB Likes,name,Actor 1 FB Likes,Number of Voted Users,Director FB Likes,Number of Critic for Reviews,Number of Users for Reviews,Budget,Domestic Gross,Imdb Score
Comedy Drama,http://www.imdb.com/title/tt0357413/?ref_=fn_tt_tt_1,656730,"AnchormanTheLegendofRonBurgundy, director: Adam McKay",210000,267921,285,181,577,37650961.68,126713421.5,7.2
Drama,http://www.imdb.com/title/tt1907639/?ref_=fn_tt_tt_1,263584,"Hardflip, director: Johnny Remo",200000,606,74,2,5,1170572.956,113234.2044,5.6
Thriller Drama,http://www.imdb.com/title/tt2380301/?ref_=fn_tt_tt_1,283939,"Treachery, director: Travis Romero",160000,344,4,5,5,708922.5754,0,3.9
Horror,http://www.imdb.com/title/tt1144884/?ref_=fn_tt_tt_1,303717,"TheFinalDestination, director: David R. Ellis",160000,75345,160,221,290,51463292.71,85529033.34,5.2
Comedy,http://www.imdb.com/title/tt0426459/?ref_=fn_tt_tt_1,170118,"Feast, director: John Gulager",104000,25542,38,130,252,4525084.031,79374.21618,6.4
Action,http://www.imdb.com/title/tt0913354/?ref_=fn_tt_tt_1,137712,"Armored, director: Nimríë_d Antal",137000,26236,190,107,110,25731646.35,20571005.14,5.7
Horror,http://www.imdb.com/title/tt1082868/?ref_=fn_tt_tt_1,140268,"Quarantine, director: John Erick Dowdle",137000,57446,66,198,369,15933035.42,42078895.61,6
Comedy Family,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1,108016,"EvanAlmighty, director: Tom Shadyac",87000,115099,293,186,257,239792183.1,137421049.8,5.4
Adventure Action,http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1,92456,"Poseidon, director: Wolfgang Petersen",87000,82380,249,231,629,226254201.6,85799576.72,5.6
Thriller Drama,http://www.imdb.com/title/tt0340163/?ref_=fn_tt_tt_1,103354,"Hostage, director: Florent-Emilio Siri",87000,93790,17,152,288,109450470,50546332.88,6.6
Thriller Drama,http://www.imdb.com/title/tt0408345/?ref_=fn_tt_tt_1,101383,"Firewall, director: Richard Loncraine",87000,50170,12,171,306,70704437.99,68938508.39,5.8
Horror,http://www.imdb.com/title/tt1148204/?ref_=fn_tt_tt_1,88953,"Orphan, director: Jaume Collet-Serra",87000,141663,174,265,383,25731646.35,53517001.02,7
Comedy Family,http://www.imdb.com/title/tt1100119/?ref_=fn_tt_tt_1,88422,"Shorts, director: Robert Rodriguez",87000,5332,0,103,37,25731646.35,26914229.08,4.9
Horror,http://www.imdb.com/title/tt0384806/?ref_=fn_tt_tt_1,120797,"TheAmityvilleHorror, director: Andrew Douglas",87000,80903,15,220,518,26997782.6,95197638.63,6
Drama,http://www.imdb.com/title/tt1087527/?ref_=fn_tt_tt_1,89263,"Trucker, director: James Mottern",87000,2792,7,46,22,1929873.477,67454.22434,6.7
Drama,http://www.imdb.com/title/tt1544600/?ref_=fn_tt_tt_1,77046,"TheGraceCard, director: David G. Evans",77000,2099,0,25,26,241606.2582,2936403.94,6.4
Adventure Fantasy,http://www.imdb.com/title/tt1078912/?ref_=fn_tt_tt_1,54039,"NightattheMuseumBattleoftheSmithsonian, director: Shawn Levy",49000,130272,189,185,209,192987347.7,228038637.4,5.9
Animation,http://www.imdb.com/title/tt1402488/?ref_=fn_tt_tt_1,62644,"HappyFeet, director: George Miller",49000,32399,750,156,79,120197544.6,279990022.7,5.9
Adventure Fantasy,http://www.imdb.com/title/tt2692250/?ref_=fn_tt_tt_1,53587,"NightattheMuseumSecretoftheTomb, director: Shawn Levy",49000,67223,189,154,126,139586305.5,125019453.5,6.2
Mixed,http://www.imdb.com/title/tt0477347/?ref_=fn_tt_tt_1,55486,"NightattheMuseum, director: Shawn Levy",49000,234480,189,179,444,155549763.6,354742927.5,6.4
Drama,http://www.imdb.com/title/tt0182789/?ref_=fn_tt_tt_1,55254,"BicentennialMan, director: Chris Columbus",49000,87785,0,93,362,158663511.1,102639030.4,6.8
Animation,http://www.imdb.com/title/tt0366548/?ref_=fn_tt_tt_1,70996,"HappyFeet, director: George Miller",49000,132501,750,206,548,120197544.6,279990022.7,6.5
Mixed,http://www.imdb.com/title/tt0119137/?ref_=fn_tt_tt_1,50005,"Flubber, director: Les Mayfield",49000,63625,10,53,64,150204842,174601489.8,5.2
Drama,http://www.imdb.com/title/tt0120889/?ref_=fn_tt_tt_1,49631,"WhatDreamsMayCome, director: Vincent Ward",49000,83560,25,121,619,145547327.5,100946246.6,7
Adventure Fantasy,http://www.imdb.com/title/tt0102057/?ref_=fn_tt_tt_1,64259,"Hook, director: Steven Spielberg",49000,182802,14000,75,363,158770630.6,271395310,6.7
Comedy Drama,http://www.imdb.com/title/tt0129290/?ref_=fn_tt_tt_1,74382,"PatchAdams, director: Tom Shadyac",49000,80580,293,55,375,90967079.7,245638347.1,6.7
Thriller Drama,http://www.imdb.com/title/tt0266452/?ref_=fn_tt_tt_1,52885,"DeathtoSmoochy, director: Danny DeVito",49000,34730,0,105,341,80198355.63,13402452.46,6.4
Comedy Family,http://www.imdb.com/title/tt0976238/?ref_=fn_tt_tt_1,53370,"OldDogs, director: Walt Becker",49000,31191,12,124,120,45030381.12,63675609.26,5.4
Comedy Drama,http://www.imdb.com/title/tt0762114/?ref_=fn_tt_tt_1,52566,"LicensetoWed, director: Ken Kwapis",49000,32157,42,120,119,47958436.62,60016308.45,5.3
Comedy Drama,http://www.imdb.com/title/tt1931435/?ref_=fn_tt_tt_1,74181,"TheBigWedding, director: Justin Zackham",49000,37493,16,133,108,36863973.92,24749165.4,5.6
Animation,http://www.imdb.com/title/tt0103639/?ref_=fn_tt_tt_1,52970,"Aladdin, director: Ron Clements",49000,260939,63,124,244,61539004.09,477697000.6,8
Comedy Family,http://www.imdb.com/title/tt0107614/?ref_=fn_tt_tt_1,52201,"MrsDoubtfire, director: Chris Columbus",49000,181380,0,57,223,53241801.71,466813577.7,6.9
Drama,http://www.imdb.com/title/tt0426931/?ref_=fn_tt_tt_1,50927,"AugustRush, director: Kirsten Sheridan",49000,87331,59,148,364,34256026.16,43387534.47,7.5
Comedy Drama,http://www.imdb.com/title/tt0483726/?ref_=fn_tt_tt_1,52571,"ManoftheYear, director: Barry Levinson",49000,28005,272,111,236,28281775.2,52946565.88,6.2
Comedy Drama,http://www.imdb.com/title/tt0097165/?ref_=fn_tt_tt_1,51609,"DeadPoetsSociety, director: Peter Weir",49000,277451,608,96,491,39616433.22,231563163.7,8
Drama,http://www.imdb.com/title/tt0120716/?ref_=fn_tt_tt_1,51657,"JakobtheLiar, director: Peter Kassovitz",49000,12601,0,68,89,26443918.52,8737777.613,6.5
Comedy Drama,http://www.imdb.com/title/tt0093105/?ref_=fn_tt_tt_1,50141,"GoodMorningVietnam, director: Barry Levinson",49000,98348,272,62,131,33445236.48,318816382.3,7.3
Thriller Drama,http://www.imdb.com/title/tt0265459/?ref_=fn_tt_tt_1,52138,"OneHourPhoto, director: Mark Romanek",49000,97938,132,207,605,19247605.35,50680758.98,6.8
Drama,http://www.imdb.com/title/tt0119217/?ref_=fn_tt_tt_1,63710,"GoodWillHunting, director: Gus Van Sant",49000,604904,835,161,682,18775605.25,259917152.9,8.3
Comedy Drama,http://www.imdb.com/title/tt1262981/?ref_=fn_tt_tt_1,50542,"WorldsGreatestDad, director: Bobcat Goldthwait",49000,31964,800,129,129,12865823.18,285370.391,6.9
Thriller Drama,http://www.imdb.com/title/tt0448075/?ref_=fn_tt_tt_1,50831,"TheNightListener, director: Patrick Stettner",49000,13086,5,125,156,5656355.039,11081355.26,5.9
Comedy Drama,http://www.imdb.com/title/tt0372334/?ref_=fn_tt_tt_1,51441,"HouseofD, director: David Duchovny",49000,7479,0,46,86,2918679.2,567000.1335,7
Documentary,http://www.imdb.com/title/tt0976025/?ref_=fn_tt_tt_1,54484,"CertifiablyJonathan, director: James David Pasternak",49000,132,0,17,2,1449637.549,9454.052884,6.2
Thriller Drama,http://www.imdb.com/title/tt3460252/?ref_=fn_tt_tt_1,49912,"TheHatefulEight, director: Quentin Tarantino",46000,272839,16000,596,1018,66031488,57636346.86,7.9
Action,http://www.imdb.com/title/tt0112401/?ref_=fn_tt_tt_1,58528,"Assassins, director: Richard Donner",45000,62981,503,61,84,99982351.03,60601838.51,6.3
Comedy,http://www.imdb.com/title/tt0145660/?ref_=fn_tt_tt_1,47203,"AustinPowersTheSpyWhoShaggedMe, director: Jay Roach",45000,181225,116,199,784,61702476.54,363233814.6,6.6
Horror,http://www.imdb.com/title/tt0130018/?ref_=fn_tt_tt_1,49847,"IStillKnowWhatYouDidLastSummer, director: Danny Cannon",45000,55398,41,125,418,43664198.26,72811182.22,4.6
Horror,http://www.imdb.com/title/tt0119345/?ref_=fn_tt_tt_1,50284,"IKnowWhatYouDidLastSummer, director: Jim Gillespie",45000,105585,13,140,419,31918528.93,135653918.8,5.6
Horror,http://www.imdb.com/title/tt2034139/?ref_=fn_tt_tt_1,46868,"TheLastExorcismPartII, director: Ed Gass-Donnelly",45000,13506,8,161,68,4537104.482,17217520.92,4
Adventure Fantasy,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,73441,"OztheGreatandPowerful, director: Sam Raimi",44000,175409,0,525,511,226855224.1,266295134.6,6.4
